name,ages,errors,site,lat,lon,group average,group std_dev,group std_error,x_3413,y_3413
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11408,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11753,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12381,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12212,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,10851,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12402,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11078,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11912,,,698032.5976743738,-1898649.996770141
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11194,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12071,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11408,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11753,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12381,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12212,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,10851,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12402,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11078,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11912,,,698453.1937950198,-1898986.5495086655
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11194,,,696997.9817888505,-1895551.8558553576
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12071,,,696997.9817888505,-1895551.8558553576
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11408,,,696997.9817888505,-1895551.8558553576
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11753,,,696997.9817888505,-1895551.8558553576
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12381,,,696997.9817888505,-1895551.8558553576
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12212,,,696997.9817888505,-1895551.8558553576
